subfolder,image_name,image_path,status,instrument_pixels,needle_pixels,area_ratio,corrected_area,,,,,,,,
7-14_tree123_2838_day7,20250722_162601.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_162601.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_162611.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_162611.jpg,success,825,4693,0.850489308,5.102935846,,,,,,,,
7-14_tree123_2838_day7,20250722_162935.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_162935.jpg,success,1255,8370,0.86961039,5.217662338,,,,,,,,
7-14_tree123_2838_day7,20250722_163249.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_163249.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_163311.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_163311.jpg,success,911,3202,0.778507172,4.671043034,,,,,,,,
7-14_tree123_2838_day7,20250722_164001.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_164001.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_164012.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_164012.jpg,success,812,3221,0.798661046,4.791966278,,,,,,,,
7-14_tree123_2838_day7,20250722_164211.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_164211.jpg,success,900,3749,0.806409981,4.838459884,,,,,,,,
7-14_tree123_2838_day7,20250722_164429.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_164429.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_164451.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_164451.jpg,success,779,1977,0.717343977,4.304063861,,,,,,,,
7-14_tree123_2838_day7,20250722_164647.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_164647.jpg,success,915,2949,0.763198758,4.579192547,,,,,,,,
7-14_tree123_2838_day7,20250722_164900.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_164900.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_164922.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_164922.jpg,success,987,3801,0.793859649,4.763157895,,,,,,,,
7-14_tree123_2838_day7,20250722_165143.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_165143.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_day7,20250722_165157.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_165157.jpg,success,559,2243,0.800499643,4.802997859,,,,,,,,
7-14_tree123_2838_day7,20250722_165352.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_day7\20250722_165352.jpg,success,626,2280,0.78458362,4.707501721,,,,,,,,
7-14_tree123_2838_initial,20250714_125006.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_125006.jpg,success,1034,5561,0.843214556,5.059287339,,,,,,,,
7-14_tree123_2838_initial,20250714_125238.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_125238.jpg,success,1033,4548,0.814907723,4.889446336,,,,,,,,
7-14_tree123_2838_initial,20250714_125534.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_125534.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_125547.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_125547.jpg,success,938,4909,0.839575851,5.037455105,,,,,,,,
7-14_tree123_2838_initial,20250714_125920.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_125920.jpg,success,917,4988,0.844707875,5.068247248,,,,,,,,
7-14_tree123_2838_initial,20250714_130149.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_130149.jpg,success,0,0,0,0,,,,,,,,
7-14_tree123_2838_initial,20250714_130200.jpg,C:\Users\haigh\OneDrive\Documents\Masters\Roboflow\Images\7-14_tree123_2838_initial\20250714_130200.jpg,success,1128,5285,0.824107282,4.944643692,,,,,,,,
